planet_ID,star_distance,star_mass_kg,star_radius_m,star_temperature,planet_mass_kg,planet_orbital_period,planet_distance,planet_surface_gravity
train1,530.765,1.9685257719910705e+30,667872000.0,5636.0,3.9909227861902126e+26,9.66857723,0.08853045162360054,16.64203940167769
train2,440.089,1.94864167328409e+30,723528000.0,5449.0,4.9770006443183424e+26,4.2180278,0.05075212350599319,5.197134626838914
train3,1126.37,2.1474826603538953e+30,779184000.0000001,5675.0,9.686804028782111e+25,2.828042,0.04015790576356111,7.87171808580326
train4,1257.16,2.0480621668189925e+30,737442000.0,5849.0,4.4863402928140045e+25,3.85560355,0.04860115126625261,4.894681172054986
train5,211.553,2.5252805357865246e+30,1092249000.0,6200.0,2.4163286081397667e+26,3.07634,0.04483288600042888,5.870150937145942
train6,760.43,1.7299165875073044e+30,584388000.0,5387.0,2.9369518223638007e+25,17.44490636,0.12567765838528075,14.76645450062404
train7,663.418,1.9287575745771094e+30,660915000.0,5683.0,1.7869844933833386e+25,13.02365861,0.10724699891734488,6.180763663775906
train8,353.891,2.0480621668189925e+30,744399000.0,5670.0,6.339774498058927e+26,4.6058749,0.05471751949207389,6.453192668400657
train9,300.384,2.0082939694050315e+30,640044000.0,5519.0,2.717752862815974e+25,3.65281514,0.04657628245907914,14.106076998131744
train10,815.637,1.5708437978514603e+30,514818000.0,4897.0,2.2492351751149827e+26,21.67697486,0.14066327159294253,6.730104542093652
train11,555.134,2.2071349564748368e+30,730485000.0,6010.0,4.0111289683644685e+26,1.36665436,0.024956634666859597,10.764118578838616
train12,534.889,2.1872508577678563e+30,765270000.0000001,5880.0,8.693895020034134e+25,3.312846,0.04489909921558796,6.601119178502846
train13,815.637,1.5708437978514603e+30,514818000.0,4897.0,6.01617991666308e+25,21.67697486,0.14066327159294253,11.734145104005513
train14,462.322,1.829337081042207e+30,619173000.0,5524.0,2.0301866717908672e+27,1.8270823,0.028449452770185717,9.428034197688362
train15,938.715,2.2071349564748368e+30,807012000.0,5963.0,6.423096637901762e+26,1.6255222,0.028016174303742945,10.305857719426093
train16,1318.05,2.962730707340096e+30,1259217000.0,6747.0,6.633256937347163e+26,3.1739171,0.04827975342298772,3.338494727527109
train17,372.632,2.6247010293214275e+30,1106163000.0,6202.0,6.25927407986469e+26,6.180235,0.07230481251094438,4.896693307211844
train18,635.009,1.6503801926793823e+30,542646000.0,5099.0,2.5259864462277705e+27,10.37168453,0.087477856126999,38.17210020828268
train19,938.715,2.2071349564748368e+30,807012000.0,5963.0,5.6179795107569025e+25,1.6255222,0.028016174303742945,10.224741552125433
train20,246.61,1.7696847849212654e+30,556560000.0,5260.0,2.4405804728961656e+26,24.3078946,0.15797952354812492,5.905344104017569
train21,737.668,2.9826148060470766e+30,1189647000.0,6424.0,5.979050060091004e+26,4.193649,0.05826365243178558,8.700047257145838
train22,969.918,2.028178068112012e+30,786140999.9999999,5713.0,4.001087779723363e+25,9.48961571,0.08830901529669967,12.165132590429709
train23,680.54,1.988409870698051e+30,876582000.0,5877.0,9.247450726807641e+25,23.78319931,0.16186492537423527,7.185234132285941
train24,799.008,1.988409870698051e+30,827883000.0,6078.0,4.920317522836123e+25,35.86619949,0.21286102099580217,9.70369571987498
train25,685.599,2.3463236474237e+30,883539000.0,6123.0,4.5009859448156885e+26,4.90332155,0.05969346924000035,9.721152815050097
train26,1026.49,2.028178068112012e+30,716571000.0,5890.0,5.511948644167022e+26,25.85501786,0.17226717022383392,12.626356846042063
train27,322.037,1.749800686214285e+30,535689000.0,5080.0,3.8465737171507814e+25,6.21229,0.06338229190450637,3.3422802821811954
train28,745.116,2.1872508577678563e+30,765270000.0000001,5700.0,1.3800033281775508e+26,2.8126548,0.040257588118197726,4.9341329536804075
train29,638.7,2.1872508577678563e+30,1085292000.0,5599.0,3.333946090532384e+26,1.915291,0.031159702896760542,13.035301138596935
train30,612.838,1.5708437978514603e+30,514818000.0,4913.0,2.6925942381660936e+25,16.01310205,0.11494724826989132,8.109736107911901
train31,2063.41,2.2866713513027586e+30,834840000.0,6038.0,3.888497588658527e+26,4.12554687,0.05274640497272799,9.614578834240373
train32,322.037,1.749800686214285e+30,535689000.0,5080.0,2.5627070165979575e+27,6.21229,0.06338229190450637,16.055093839524424
train33,1131.73,1.8094529823352264e+30,612216000.0,5518.0,6.689564676577548e+26,22.36656079,0.15056331619297572,4.838941443618596
train34,143.651,1.2924664159537332e+30,431334000.0,4390.0,4.621733527279303e+25,3.799847,0.041284569480172416,7.488274574357312
train35,343.525,1.7696847849212654e+30,765270000.0000001,5732.0,9.827639017957141e+25,4.375021,0.05036041859250875,11.283010088612077
train36,436.176,1.3123505146607137e+30,445248000.0,4071.0,6.717416721124143e+26,3.0876262,0.036132972559749135,6.1938743160993175
train37,2089.7,1.6106119952654213e+30,542646000.0,5330.0,4.069818650166704e+26,27.80756293,0.16745939835759974,5.515450673878261
train38,800.377,2.5252805357865246e+30,1029636000.0,6060.0,7.599302329544975e+26,2.292102,0.036846516439087255,5.327592676184043
train39,298.64,2.505396437079544e+30,918324000.0,6330.0,4.4490990537338574e+26,3.128992,0.045223661107898376,4.454231228917745
train40,324.413,1.411771008195616e+30,486989999.99999994,4405.0,1.299210724565956e+27,4.1480467,0.045076941593126564,5.122887957253438
train41,568.431,1.4913074030235383e+30,493947000.0,4779.0,5.142815492341601e+25,9.27358194,0.07849186797282402,10.97989912055793
train42,1416.44,2.107714462939934e+30,751356000.0,5903.0,6.760376622063136e+26,4.19042557,0.05186964515398012,3.5240745210817055
train43,486.474,2.1872508577678563e+30,1015722000.0,5688.0,1.8274753687795804e+26,3.560829,0.04711265092224337,5.701425023625855
