,planet_ID,planet_radius,planet_temp,log_H2O,log_CO2,log_CO,log_CH4,log_NH3
0,train1,0.559619783857541,863.3947695756594,-8.865868416360755,-6.700706810717679,-5.557561003000044,-8.95761461551005,-3.097540009371725
1,train2,1.1183082651122085,1201.7004654515492,-4.510257589745525,-8.228966165330746,-3.565427109520787,-7.807424323367722,-3.6336582286001935
2,train3,0.400880711448295,1556.0964773615008,-7.225471946594337,-6.931472321652629,-3.081975004664308,-8.567853876681728,-5.378471700868785
3,train4,0.3459740867675983,1268.6248837574371,-7.4611572443420195,-5.8533342879170895,-3.0447112402263654,-5.149377853907598,-3.815567939535641
4,train5,0.7331840919428255,1707.323564363111,-4.14084424667962,-7.460278345167298,-3.1817925423181985,-5.996593241368741,-4.535345452529988
5,train6,0.1611647152102324,620.185808779607,-4.875000331218327,-5.074766123994965,-3.861240134829552,-5.388010781982572,-8.390503482073544
6,train7,0.1943117185427851,900.5975753474045,-8.299899073782568,-6.850709066539565,-4.314491192208113,-3.712038201577659,-3.9514547532346977
7,train8,1.1326852864578012,1176.4438996513254,-6.765864531488706,-7.398547507826496,-3.378307014918997,-3.7637369841770942,-5.881383850844419
8,train9,0.1586213075514009,1189.209840832695,-8.37604095293613,-6.321976757815458,-3.2439003965247206,-8.711851159342364,-3.449195298942493
9,train10,0.6606420266350219,528.0236691902415,-3.80428603807587,-8.919377911597332,-4.686963660395101,-8.1502773209924,-3.0683192743836205
10,train11,0.6975956213037444,1804.7537936804213,-5.065388156227762,-8.34599846366686,-5.283673398341438,-6.310933942105467,-3.05206553042537
11,train12,0.4147229591539718,1405.45413751329,-5.50477220926663,-7.244674921776899,-3.691867686067276,-4.678321833833293,-5.181381893676291
12,train13,0.2587583363503087,524.6077162018815,-7.785539476851483,-7.1888966025877785,-5.610068571946114,-7.820980633188791,-6.2069173797617
13,train14,1.676938290102877,1462.1467201284477,-7.99174450364629,-7.318027638999758,-4.362923848476114,-8.518751907067092,-5.049886646787715
14,train15,0.902173002189338,1811.4894094350116,-3.5010964750742133,-8.885347696205052,-5.711844141961402,-4.635429392070599,-6.4140585502882
15,train16,1.6108226670905104,2005.540733126964,-6.191264431101155,-8.982055932697033,-4.669891260986018,-6.701065056279355,-6.131004790397141
16,train17,1.2920228728827594,1472.4778985186456,-3.535032832911268,-5.601407336310378,-3.2839386973204188,-5.237622864374685,-6.567365293838916
17,train18,0.9296129177805376,795.5632917187065,-5.013397420297948,-8.242325764674685,-3.0132553655191265,-4.639475810520076,-5.313173399503596
18,train19,0.2678696902538457,1860.817317945861,-3.801786365978408,-6.056706727508619,-3.554642776001796,-3.2411497392276925,-6.072495713860143
19,train20,0.7346553256695784,593.8080213088249,-6.058734990510862,-5.642289122964269,-3.435853045027847,-3.0385944046779105,-7.646360451308018
20,train21,0.947359814366622,1657.6064977997723,-3.0689401819952646,-7.966469274695308,-3.1521321420936648,-4.674703604257305,-4.799923535556346
21,train22,0.2072479703276561,1035.4762821386933,-6.046650298195,-7.991872535789945,-4.547579943998635,-4.9808247372829495,-4.371786234081807
22,train23,0.4099682466153899,806.4982711508225,-8.690208227808887,-8.75260914880216,-3.352816534201332,-3.4437233445148685,-3.2335996690478392
23,train24,0.257328358553798,579.4955631480835,-6.852532278325209,-7.201686490317268,-5.840766961547574,-4.855290293555965,-3.9750249568037184
24,train25,0.7775970654123039,1338.764592391443,-3.260548912113916,-6.95971269651648,-4.056452921251269,-3.385207509372429,-3.937657267616558
25,train26,0.7550456699682085,711.0883428256425,-3.825874733545029,-8.833896194860097,-5.7583407335852375,-6.4552202602201945,-8.6240402502772
26,train27,0.3876816687208169,788.2316584226003,-3.006388476539559,-6.015803752648642,-4.011685659591348,-6.996315935499819,-6.64625684777516
27,train28,0.6043580520386229,1374.7249054519632,-6.471501115380602,-8.123703149710495,-5.1505206359696345,-3.2705431680696453,-4.370298336665299
28,train29,0.5779342355708914,1867.3252776103325,-8.994038685881366,-5.525245738956647,-4.626483712057343,-4.7625678674365615,-7.369794221693901
29,train30,0.208229264200438,666.3529946916868,-6.815898642507652,-5.377069196177768,-4.098271146482589,-5.548238803820957,-3.4943230717549056
30,train31,0.7267506924909922,1293.1673817637643,-4.129117815907596,-7.331702081776497,-4.446856982984242,-3.4557132453152475,-7.070347959857257
31,train32,1.4437856616958251,871.849438071677,-3.652770784511688,-8.366534928822524,-4.908039448229642,-7.851879042263384,-3.4957810977193207
32,train33,1.3436415176294925,657.0962719575901,-5.987020063463117,-6.40580860612261,-4.882099928832684,-3.4555335030061496,-5.208211095541676
33,train34,0.2839038228367671,891.5332082403204,-7.747255600291284,-6.551766521663023,-5.276047087999138,-4.433856413581998,-5.9887834934499535
34,train35,0.3372653923084117,1358.9180884978714,-6.774341833431446,-8.641139442293087,-5.033805446605676,-8.93231286381716,-8.147524846708839
35,train36,1.190089492829733,801.5929511013867,-8.304234134088347,-5.343451418911242,-3.650616838764849,-5.852676113396779,-7.893970939098556
