# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr 21 03:28:15 2026
#
# User preference: *
#
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,st_mass,st_masserr1,st_masserr2,st_masslim
,,,,,,,,2.090000,0.640000,-0.630000,0
,,,,,,,,2.700000,0.300000,-0.300000,0
,,,,,,,,2.600000,0.400000,-0.300000,0
,,,,,,,,1.700000,0.400000,-0.300000,0
,,,,,,,,2.780000,0.690000,-0.690000,0
,,,,,,,,1.800000,0.250000,-0.250000,0
,,,,,,,,1.780000,0.430000,-0.290000,0
,,,,,,,,2.200000,0.100000,-0.200000,0
,,,,,,,,1.200000,0.400000,-0.300000,0
,,,,2559.47216157,518.69596022,-280.64248338,0,0.910000,0.113000,-0.113000,0
,,,,,,,,0.900000,0.040000,-0.040000,0
,,,,,,,,0.910000,0.137622,-0.087564,0
,,,,,,,,0.969205,0.042098,-0.042098,0
,,,,,,,,0.900000,,,0
,,,,,,,,1.000000,,,0
,,,,,,,,,,,
,,,,,,,,0.900000,,,0
,,,,2828.67282230,413.17692910,-540.30829190,0,0.970000,0.040000,-0.040000,0
,,,,,,,,1.030000,0.148362,-0.116303,0
,,,,,,,,1.000000,0.050000,-0.050000,0
,,,,,,,,1.080000,0.040000,-0.040000,0
,,,,,,,,0.990000,,,0
,,,,,,,,0.982996,0.044563,-0.044563,0
,,,,,,,,,,,
,,,,,,,,1.220000,0.130000,-0.140000,0
,,,,,,,,2.100000,0.130000,-0.090000,0
,,,,,,,,2.100000,0.100000,-0.100000,0
,,,,,,,,2.300000,,,0
,,,,4000.00000000,300.00000000,-300.00000000,0,0.850000,0.200000,-0.100000,0
,,,,3000.00000000,1000.00000000,-700.00000000,0,0.623000,0.057710,-0.109728,0
,,,,3000.00000000,300.00000000,-300.00000000,0,0.850000,0.200000,-0.100000,0
18.64700000,,,0,2543.00000000,1271.00000000,-636.00000000,0,0.850000,0.200000,-0.100000,0
,,,,,,,,1.050000,0.270000,-0.180000,0
,,,,,,,,0.990000,0.190000,-0.130000,0
,,,,,,,,1.540000,0.080000,-0.080000,0
,,,,,,,,1.540000,0.080000,-0.080000,0
,,,,1271.31362800,317.82840700,-317.82840700,0,0.170000,0.010000,-0.020000,0
,,,,4131.79000000,317.83000000,-317.83000000,0,0.190000,0.020000,-0.020000,0
11.20900000,,,0,,,,,0.353185,0.020403,-0.020403,0
,,,,7786.50000000,794.50000000,-794.50000000,0,0.400000,0.050000,-0.050000,0
16.14096000,0.33627000,-0.33627000,0,4417.83700000,349.61300000,-349.61300000,0,0.108000,0.011000,-0.011000,0
,,,,3686.80952120,413.17692910,-317.82840700,0,0.046000,0.012000,-0.011000,0
,,,,5720.91132600,317.82840700,-317.82840700,0,,,,
,,,,2383.60000000,794.50000000,-794.50000000,0,0.019000,,,0
,,,,8899.19539600,3178.28407000,-2224.79884900,0,,,,
,,,,6356.56814000,317.82840700,-317.82840700,0,,,,
15.69257298,0.33626942,-0.44835923,0,1652.70771640,190.69704420,-222.47988490,0,,,,
,,,,1271.00000000,318.00000000,-318.00000000,0,0.188001,0.020227,-0.020227,0
,,,,1589.15000000,635.66000000,-635.66000000,0,0.024000,,,0
,,,,603.87700000,31.78300000,-31.78300000,0,0.480000,0.030000,-0.030000,0
,,,,,,,,0.480000,,,0
,,,,3813.94088400,317.82840700,-317.82840700,0,,,,
,,,,3972.87500000,476.74500000,-476.74500000,0,0.600000,0.050000,-0.050000,0
,,,,9534.85221000,3496.11247700,-1271.31362800,0,,,,
,,,,,,,,1.234000,0.150000,-0.150000,0
,,,,,,,,1.234000,0.150000,-0.150000,0
,,,,,,,,1.063000,0.029000,-0.029000,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,1.060000,0.128402,-0.137608,0
,,,,,,,,1.005192,0.046888,-0.046888,0
,,,,,,,,,,,
,,,,,,,,1.060000,0.128402,-0.137608,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,1.005192,0.046888,-0.046888,0
,,,,,,,,1.060000,0.128402,-0.137608,0
,,,,,,,,1.005192,0.046888,-0.046888,0
,,,,3464.32963630,,,1,1.750000,0.050000,-0.050000,0
,,,,,,,,1.650000,0.356948,-0.178436,0
,,,,635.66000000,,,0,1.750000,0.050000,-0.050000,0
,,,,1303.09646870,127.13136280,-127.13136280,0,1.550000,0.006000,-0.005000,0
,,,,,,,,1.650000,0.356948,-0.178436,0
,,,,,,,,1.069296,0.047439,-0.047439,0
,,,,,,,,,,,
,,,,,,,,1.030000,0.166699,-0.085418,0
,,,,,,,,,,,
,,,,146.20180000,19.06980000,-3.17830000,0,1.040000,,,0
,,,,,,,,0.260000,0.020000,-0.020000,0
