iter	MultiClass
0	1.567027531
1	1.524299291
2	1.489701724
3	1.457204166
4	1.428308312
5	1.402250795
6	1.377968271
7	1.354659525
8	1.334126963
9	1.31491711
10	1.298193148
11	1.2826032
12	1.268829578
13	1.254854532
14	1.241458618
15	1.229414138
16	1.218452232
17	1.209009648
18	1.198336838
19	1.190293325
20	1.180841792
21	1.171813713
22	1.163185159
23	1.156558635
24	1.1503201
25	1.142355106
26	1.136217081
27	1.132929213
28	1.128506829
29	1.123367664
30	1.117723819
31	1.110524583
32	1.104572923
33	1.098765508
34	1.095590645
35	1.090734663
36	1.086439974
37	1.08342887
38	1.080600301
39	1.076377809
40	1.072927351
41	1.069281313
42	1.065429602
43	1.062329045
44	1.059155496
45	1.056338253
46	1.053017831
47	1.050167998
48	1.047831737
49	1.045051953
50	1.042093281
51	1.039373732
52	1.03714878
53	1.035145299
54	1.033332047
55	1.030729697
56	1.028645427
57	1.026924815
58	1.024951485
59	1.022709306
60	1.020033026
61	1.017600267
62	1.015683461
63	1.014175634
64	1.011611559
65	1.008760527
66	1.006891886
67	1.005267685
68	1.003263265
69	1.001168544
70	0.9994827856
71	0.9978143218
72	0.9955297308
73	0.9940504193
74	0.9931121211
75	0.991863831
76	0.9907335486
77	0.9886297994
78	0.9874048431
79	0.9865127009
80	0.9851279619
81	0.983587198
82	0.9827078221
83	0.9805380417
84	0.9793953691
85	0.9781768395
86	0.9770704044
87	0.9753217911
88	0.973778402
89	0.971976365
90	0.9707048819
91	0.9696271506
92	0.968009993
93	0.9665324742
94	0.9654297635
95	0.9642953179
96	0.963570916
97	0.9624280408
98	0.9614882875
99	0.9602645214
100	0.9583784048
101	0.9571246122
102	0.9560738759
103	0.9549788967
104	0.9542575057
105	0.9531648083
106	0.95222783
107	0.951022715
108	0.9501519586
109	0.9489292409
110	0.948008195
111	0.9474545948
112	0.9459834885
113	0.9444298654
114	0.9429132655
115	0.9419077635
116	0.9409362096
117	0.9396776037
118	0.9381551913
119	0.9372892261
120	0.9359764924
121	0.9353096397
122	0.9338142855
123	0.9328911997
124	0.9318173689
125	0.9305588313
126	0.9291830087
127	0.9277396324
128	0.9264100154
129	0.9253595654
130	0.9239702784
131	0.9229388592
132	0.9212070243
133	0.9200394281
134	0.919278847
135	0.9185146713
136	0.9178441619
137	0.9167372663
138	0.9158187128
139	0.9151994495
140	0.9145487022
141	0.9139148003
142	0.9128460207
143	0.9112229595
144	0.9104165962
145	0.909546029
146	0.9089077928
147	0.9077572534
148	0.9066920899
149	0.9056512943
150	0.9047109067
151	0.9040370652
152	0.9032542517
153	0.9024394403
154	0.9017751175
155	0.9010567154
156	0.9001977026
157	0.8986867058
158	0.8980495809
159	0.8967391485
160	0.8956132769
161	0.8950542041
162	0.8944813289
163	0.8939908193
164	0.8933581047
165	0.8923534475
166	0.8911752006
167	0.89031862
168	0.8892556397
169	0.8879615453
170	0.8873587611
171	0.886509455
172	0.8858029302
173	0.8852755972
174	0.8839498871
175	0.8837118775
176	0.8830172761
177	0.8823517166
178	0.8815595054
179	0.8808405443
180	0.8799301262
181	0.8795835125
182	0.8778448845
183	0.8769623931
184	0.8759393246
185	0.8750360779
186	0.8747398303
187	0.8738822932
188	0.8729103412
189	0.8720915508
190	0.8711982659
191	0.8705184508
192	0.8692134796
193	0.8683864233
194	0.8680471008
195	0.867407851
196	0.8667883016
197	0.8658996926
198	0.8653613973
199	0.8645049077
200	0.8638170894
201	0.862609051
202	0.8615954682
203	0.8607133024
204	0.8596919791
205	0.8591109614
206	0.8576943663
207	0.8570997929
208	0.8565865929
209	0.8557065477
210	0.8551876064
211	0.8545101407
212	0.8535630712
213	0.8527035387
214	0.8522762125
215	0.8511916023
216	0.8500415274
217	0.8493902792
218	0.8488181086
219	0.8480642194
220	0.8473719477
221	0.8466851279
222	0.845796354
223	0.8449796281
224	0.844216322
225	0.8436375907
226	0.8427333637
227	0.8424212107
228	0.8419752665
229	0.8411163944
230	0.8407456643
231	0.8401959538
232	0.8397944022
233	0.839217581
234	0.8385261266
235	0.8373792185
236	0.8368141954
237	0.8361182877
238	0.8358058808
239	0.8349561257
240	0.8343591875
241	0.8339854168
242	0.8331319606
243	0.8324558959
244	0.8319955431
245	0.8314083877
246	0.8310013467
247	0.8299038139
248	0.8292851947
249	0.8287356631
250	0.8280788749
251	0.8271983563
252	0.8265959737
253	0.8255277818
254	0.8243044019
255	0.8236889011
256	0.8227996336
257	0.8223636151
258	0.8213201654
259	0.8207977922
260	0.8201094888
261	0.8193646436
262	0.8187612207
263	0.8181885982
264	0.8178737772
265	0.8171013395
266	0.8161415724
267	0.8156898459
268	0.8152349256
269	0.8147873316
270	0.8143591972
271	0.8137762815
272	0.8133487343
273	0.812947814
274	0.8125298089
275	0.8117312108
276	0.811411804
277	0.8109434186
278	0.8103748806
279	0.8097932977
280	0.8087307804
281	0.8084400451
282	0.8075038561
283	0.8068213199
284	0.8062528725
285	0.805759908
286	0.8051701217
287	0.8045455918
288	0.803993318
289	0.8035911434
290	0.8033986939
291	0.802837339
292	0.8020167088
293	0.8015990158
294	0.8009431746
295	0.8005848421
296	0.800275992
297	0.7996051713
298	0.7993453321
299	0.7989674085
300	0.7979926156
301	0.7968560394
302	0.7963217474
303	0.7957385557
304	0.7951421274
305	0.7944891301
306	0.7939188609
307	0.7933533209
308	0.7928736922
309	0.791919726
310	0.7914005239
311	0.7907669338
312	0.7902757098
313	0.7896172223
314	0.789027981
315	0.7880140161
316	0.7874169342
317	0.7870200291
318	0.786684744
319	0.7860650817
320	0.7853888352
321	0.7850206719
322	0.7840581721
